station_pair,time,delay,coherence,station1,station2
TX.PB10_TX.PB19,65.0,-0.35046164519318057,0.8339067491724734,PB10,PB19
TX.PB10_TX.PB19,69.0,0.13339404339681535,0.851598303321188,PB10,PB19
TX.PB10_TX.PB19,73.0,-0.14796820748102005,0.8346263675014366,PB10,PB19
TX.PB10_TX.PB21,35.0,-0.1892952691302693,0.8127514278291864,PB10,PB21
TX.PB10_TX.PB21,39.0,0.9795906069305824,0.8253326792209477,PB10,PB21
TX.PB10_TX.PB21,43.0,0.35679443140862843,0.8076287687200285,PB10,PB21
TX.PB10_TX.PB21,47.0,-0.29738442692802974,0.8496353987925513,PB10,PB21
TX.PB10_TX.PB21,51.0,0.4020440270018585,0.7989359706775924,PB10,PB21
TX.PB10_TX.PB21,55.0,-0.12964925134308117,0.8702417183127955,PB10,PB21
TX.PB10_TX.PB21,59.0,-0.4986329574676655,0.8359001529287235,PB10,PB21
TX.PB10_TX.PB21,63.0,0.053029613249522635,0.8317409291588049,PB10,PB21
TX.PB10_TX.PB21,67.0,-0.04413755527458439,0.8240418122767956,PB10,PB21
TX.PB10_TX.PB21,71.0,0.545781937511217,0.8208082465388995,PB10,PB21
TX.PB10_TX.PB21,75.0,0.121174859648662,0.8238792610294937,PB10,PB21
TX.PB10_TX.PB30,23.0,0.22831920322732197,0.8549792478025947,PB10,PB30
TX.PB10_TX.PB30,27.0,0.3248541981436377,0.85539665202394,PB10,PB30
TX.PB10_TX.PB30,31.0,-0.7416773149739314,0.825513820307609,PB10,PB30
TX.PB10_TX.PB30,35.0,0.24807331972528288,0.8358467659529809,PB10,PB30
TX.PB10_TX.PB30,39.0,-0.07959486290136222,0.8286311109903727,PB10,PB30
TX.PB10_TX.PB30,43.0,0.14914875400960584,0.7662365072735098,PB10,PB30
TX.PB10_TX.PB30,47.0,-0.21105388911322667,0.7974795395671926,PB10,PB30
TX.PB10_TX.PB30,51.0,-0.2574667376042971,0.8100853028855165,PB10,PB30
TX.PB10_TX.PB30,55.0,0.11168496228475512,0.834076724275152,PB10,PB30
TX.PB10_TX.PB30,59.0,-0.4188300240151339,0.835241044656806,PB10,PB30
TX.PB10_TX.PB30,63.0,0.4339885343979657,0.8082724662206414,PB10,PB30
TX.PB10_TX.PCOS,15.0,-0.08607624905352172,0.8090692885045978,PB10,PCOS
TX.PB10_TX.PCOS,19.0,0.46851417694788494,0.7956560010331821,PB10,PCOS
